"STATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","2015-11-25","6.04","0.00","0.0","39","44","30",,,,,,,,
"USW00014739","2015-11-26","9.62","0.00","0.0","46","59","38","    1",,,,,,,
"USW00014739","2015-11-27","14.32","0.00","0.0","54","64","48","    1",,,,,,,
"USW00014739","2015-11-28","9.62","0.21","0.0","52","60","41","    1",,,,,,,
"USW00014739","2015-11-29","9.62","0.00","0.0","38","44","32",,,,,,,"    1",
"USW00014739","2015-11-30","8.72","0.00","0.0","33","38","28",,,,,,,,
"USW00014739","2015-12-01","6.04","0.14","0.0","38","45","32","    1",,,,,,,
"USW00014739","2015-12-02","3.80","0.32","0.0","43","51","39","    1","    1",,,,,,
"USW00014739","2015-12-03","14.09","0.00","0.0","48","52","41","    1","    1",,,,,,
"USW00014739","2015-12-04","10.74","0.00","0.0","43","48","38",,,,,,,,
"USW00014739","2015-12-05","6.71","0.00","0.0","44","53","39",,,,,,,,
"USW00014739","2015-12-06","8.05","0.00","0.0","44","59","36",,,,,,,,
"USW00014739","2015-12-07","7.38","0.00","0.0","45","56","37","    1",,,,,,"    1",
"USW00014739","2015-12-08","10.51","0.00","0.0","42","44","37",,,,,,,,
"USW00014739","2015-12-09","7.61","0.00","0.0","40","46","37",,,,,,,,
"USW00014739","2015-12-10","4.92","0.00","0.0","48","58","43","    1",,,,,,,
"USW00014739","2015-12-11","7.83","0.00","0.0","49","58","43","    1","    1",,,,,,
"USW00014739","2015-12-12","7.16","0.00","0.0","53","61","49",,,,,,,,
"USW00014739","2015-12-13","6.71","0.00","0.0","51","53","46",,,,,,,,
"USW00014739","2015-12-14","4.25","0.42","0.0","47","58","46","    1",,,,,,,
"USW00014739","2015-12-15","14.09","0.19","0.0","55","61","48","    1",,,,,,,
"USW00014739","2015-12-16","8.72","0.00","0.0","44","48","38",,,,,,,,
"USW00014739","2015-12-17","8.05","0.55","0.0","44","52","39","    1",,,,,,,
"USW00014739","2015-12-18","10.51","0.04","0.0","49","52","39","    1",,,,,,,
"USW00014739","2015-12-19","15.43","0.00","0.0","38","40","33",,,,,,,,
"USW00014739","2015-12-20","10.29","0.00","0.0","36","41","31",,,,,,,,
"USW00014739","2015-12-21","16.11","0.00","0.0","42","53","32",,,,,,,,
"USW00014739","2015-12-22","8.95","0.23","0.0","52","60","48","    1",,,,,,,
"USW00014739","2015-12-23","7.38","0.76","0.0","52","56","45","    1",,,,,,,
"USW00014739","2015-12-24","8.05","0.24","0.0","55","69","48","    1",,,,,,,
"USW00014739","2015-12-25","5.59","0.00","0.0","57","62","49","    1",,,,,,,
"USW00014739","2015-12-26","6.71","0.00","0.0","49","55","41",,,,,,,,
"USW00014739","2015-12-27","6.26","0.26","0.0","46","50","38","    1",,,,,,,
"USW00014739","2015-12-28","13.42","0.00","0.0","35","38","29",,,,,,,,
"USW00014739","2015-12-29","18.12","1.02","0.9","33","40","24","    1",,,"    1",,"    1",,
"USW00014739","2015-12-30","6.26","0.03","0.0","26","37","25","    1",,,,,,,
"USW00014739","2015-12-31","8.72","0.08","0.0","38","47","33","    1",,,,,,,
